id,sentence,difficulty
0.0,"Les coûts kilométriques réels peuvent diverger sensiblement des valeurs moyennes en fonction du moyen de transport utilisé, du taux d'occupation ou du taux de remplissage, de l'infrastructure utilisée, de la topographie des lignes, du flux de trafic, etc.",C1
1.0,"Le bleu, c'est ma couleur préférée mais je n'aime pas le vert!",A1
2.0,Le test de niveau en français est sur le site Internet de l'école.,A1
3.0,Est-ce que ton mari est aussi de Boston?,A1
4.0,"Dans les écoles de commerce, dans les couloirs de places financières, il arrive aujourd'hui de croiser de jeunes adultes de 20 ou 25 ans qui prévoient d'ouvrir une maison d'hôtes ""dans une quinzaine d'années"".",B1
5.0,voilà une autre histoire que j'ai beaucoup aimée.,A2
6.0,Les médecins disent souvent qu'on doit boire un verre de vin rouge après les repas.,A2
7.0,"Il est particulièrement observé chez les personnes ayant un besoin de popularité développé, qui considèrent dès lors le moindre signal du smartphone comme un possible indicateur de leur degré de popularité.",B2
8.0,J'ai retrouvé le plaisir de manger un oeuf à la coque,A2
9.0,"Nous allons bien, nous habitons dans une petite maison ancienne avec un très beau jardin",B1
10.0,Bonjour et bonne année.,A1
11.0,La presse s'est abondamment fait l'écho des effets secondaires ressentis par les soignants de moins de 65 ans.,B2
12.0,"Pour que le rocher s'ouvre, il faut le toucher avec un brin d'herbe.",B1
13.0,J'habite une belle ville dans le nord de la France.,A1
14.0,"Certes il doit répondre aux goûts du consommateur, mais aussi aux capacités de son porte-monnaie.",B2
15.0,"Ma timidité me quittait dès que je m'éloignais d'Ellénore ; je reprenais alors mes plans habiles et mes profondes combinaisons : mais à peine me retrouvais-je auprès d'elle, que je me sentais de nouveau tremblant et troublé.",C2
16.0,Je pense que fréquenter les galeries est la meilleure manière d'éduquer son oeil à l'art contemporain.,B2
17.0,"Le soir, je me cuche tôt parce que je dois être toujours en bonne forme.",A1
18.0,"La mère de Raphaël et de Vanessa exprime sa satisfaction : depuis que ses enfants possèdent un portable, ""ça a libéré ma ligne"", déclare-t-elle.",B2
19.0,Je ne fais pas grand-chose à la maison.,A2
20.0,Elle ajoute qu'une interdiction totale est impossible à gérer.,B2
21.0,"Sans plus d'hésitation, il tourna vers la gauche ; son pas sonnait sur la terre durcie, et ce bruit cadencé, monotone, assoupissait en le berçant, le tumulte de son esprit.",C2
22.0,"Comme le signale l'expression ""lingua franca"", le français a été pendant très longtemps la langue internationale, eu égard à notre rayonnement politique aussi bien que culturel",C2
23.0,Je ne t'ai pas téléphoné parce que j'ai eu trop de travail.,B1
24.0,C'est peut-être ça que vous cherchez ?,A2
25.0,"Qu'est-ce qui peut bien poser problème dans ces petits livrets pourtant plutôt attractifs pour que seuls 23, 4 % de leurs détenteurs arrivent au bout ?",C2
26.0,Je consulte d'habitude ma messagerie. Et puis je prends un café.,A1
27.0,Nous sommes en train de dîner.,A2
28.0,"En fait, je trouve que l'éducation est une bonne chose.",B1
29.0,As-tu besoin de quelque chose?,A1
30.0,"Perpétuel clandestin, c'est muni d'un faux titre de séjour, photocopie de la carte de résident d'un copain-complice, qu'il avait ensuite sillonné l'Hexagone, au bon vouloir d'employeurs peu scrupuleux.",C1
31.0,"Le mariage mixte apparaît comme le lieu privilégié ou les cultures s'affrontent, dialoguent et se fondent.",B2
32.0,"Assis en terrasse dans le quartier touristique du Vieux Lyon, James sirote une limonade bien fraîche",B2
33.0,"La chronologie antique ne prend sens que sur un large pourtour de la Méditerranée, de même que ce découpage spatial n'est pertinent comme entité géographique que durant cette période pendant laquelle la mer intérieure n'est pas vécue comme une limite.",C2
34.0,"En voici un des moins obscurs : ""Plus nous devenons maîtres de la biosphère, plus nous en devenons dépendants ; plus nous la dégradons, plus nous dégradons nos vies5.",C2
35.0,"C'est le début de troubles qui se poursuivent et s'étendent au reste du territoire tout au long du mois de septembre les fameuses ""Journées de septembre"" amplifiés le refus de Guillaume 1er de considérer les revendications des insurgés",B2
36.0,Les filles s'étaient fait des colliers en fruits rouges qui ressemblaient à des perles.,B2
37.0,Je reste avec toi.,A1
38.0,Un revenu devient donc une nécessité pour que l'Homme puisse accéder à la satisfaction d'avoir comblé ses désirs,C2
39.0,Tu mangeas les petits fruits dès que tu les eus cueillis,C2
40.0,"Ben, on est tous débordés quoi.",A1
41.0,"Un petit garçon : Ben trois dans un nid et dans l'autre, y'en a deux",A2
42.0,J'ai été en forme toute la matinée.,A2
43.0,"L'ordinateur peut aussi répondre à des interruptions qui lui permettent d'exécuter des programmes de réponses spécifiques à chacune, puis de reprendre l'exécution séquentielle du programme interrompu.",C2
44.0,Il a plu et j'ai attendu l'autobus.,A2
45.0,"Dans d'autres cas il s'agit de limites relatives, basées sur un taux de croissance démographique de référence, valables là aussi uniquement hors centres ou pondérées en fonction du degré de centralité.",C2
46.0,C'est bien !,A1
47.0,"En 2007, moins de 8% des déchets des entreprises ont fait l'objet d'une collecte sélective.",B2
48.0,Les médecins des donneurs vous conseilleront volontiers dans un tel cas vous renseigneront par rapport aux dons de sang.,C1
49.0,Le plus inquiétant c'est que la Scandinavie avait déjà battu des records de chaleur pendant l'été 2018,A2
50.0,J'aime le ski.,A1
51.0,"""Malheureusement, il semble désormais évident qu'il n'y a pas de voie pour obtenir une confirmation"", a écrit Neera Tanden à Joe Biden en retirant sa candidature",B2
52.0,Pourquoi l'oisillon se retrouve-t-il seul dans la forêt ?,A1
53.0,Elle est née quel jour ?,A1
54.0,"Il existe effectivement, des êtres humains qui possèdent une quantité de pouvoir importante et qui contraignent l'humanité à travailler en créant un cercle vicieux qui fait du travail une nécessité pour accéder à ses propres désirs",C2
55.0,Une bouchée de : cette expression fait référence à la quantité d'un aliment qu'on met dans la bouche en une fois.,B1
56.0,"Si tu respectait les indications plus sérieusement, tu trouverais plus facilement ton chemin à travers ces ruelles.",B2
57.0,"Aussitôt que Julie eut découvert la vérité, elle fut furieuse",C2
58.0,Pile au moment où on a le plus besoin de réconfort,A2
59.0,"Le train, en son temps, était également craint. Brigitte Munier Les robots suscitent l'enthousiasme des Occidentaux, mais aussi leur angoisse: au lieu de les concevoir comme de simples outils ou, à la manière japonaise, tels d'amicaux auxiliaires, ils craignent des compétiteurs menaçant leur avenir.",C1
60.0,Je viens d'emménager dans ma nouvelle maison.,A2
61.0,"Et cette année, ça défile !",B1
62.0,"Compte tenu de cette configuration, cette zone est peu adaptée à des mesures de terrain pour limiter la diffusion des campagnols terrestres ; les axes routiers ne représentant pas une barrière très forte pour cette espèce, on peut aussi penser qu'un tel résultat est un artéfact dû à la coupure artificielle d'une seule tache de prairie.",C1
63.0,"Après mûre réflexion, la Commission européenne a eu une idée brillante: s'attaquer à un nouveau chantier, qui avait jusque-là bizarrement échappé à sa sagacité légendaire.",C1
64.0,"Avec de l'expérience, le télévendeur peut devenir animateur d'un pôle de télévendeurs, superviseur d'équipe, chef de plateau.",B1
65.0,"Et toi, qu'est-ce que tu vas faire ?",A2
66.0,Les valorisations boursières des sociétés Internet comme AMAZON,C2
67.0,"Sur d'autres, on entendait une série de détonations, tandis que des contestataires scandaient: ""notre révolte doit réussir"".",C1
68.0,Les baby-boomers en sont convaincus: tout peut recommencer à 50 ans.,C1
69.0,"Rien n'était si beau, si leste, si brillant, si bien ordonné que les deux armées.",B1
70.0,Comment t'appelles-tu ?,A1
71.0,"Largué par la sonde européenne Rosetta, le petit robot avait atterri mercredi en fin d'après-midi sur le noyau de la comète Tchourioumov-Guérassimenko, une première de l'histoire spatiale.",B2
